id,target,text_spacy_Lemmatized
6174,0, I think you be right  of course they do nt mean harm like the tweet  I d rather comment  even if wi
4562,0, well when you have a bushfire or dust storm  air quality will deteriorate  nothing anyone can do a
769,1, what do we really know about the transmission of ebola  no one know for certain how the ebola virus be transmitte
10619,0, my coverage of the start of the   last week  with the first platform up for claim validati
6489,0, nonsense  you be a potential hijacker look for an easy score
5712,0, whole tape be flame
2936,0, after all shit x1 have to go through  the real criminal out there plead not guilty     ok damage have do  x1 have disband
5397,1, a total of road fatality be report during the festive season by the ekurhuleni metro police department bet
9453,0, russian hacker target ukrainian company at center of trump s impeachment storm
662,0, she run away when I get close and almost attack I when I pick she up  
8645,0, one day  when the bear be old and big  he will remember his kind rescuer and save they from peril  I like to thi
6069,0, ladies  amp  gentleman pls welcome the full metal heart  the true legend  one  amp  only 
4691,0, mr rex s zealous adventure electrocute a cat       
6303,0, just sit or walk in it be hazardous  it be nt good 
9098,0, well he do once wear a tan suit  like  how be you ever mean to get over a seismic scandal like that 
7167,0, I think her  biz savvy   amp  deceit about blow
1869,0, the german government to outlaw the burning of israel flag along with flag of all nation in response to a series of an
2610,1, 830am castlebar  two vehicle collision at the jnctn of main st  amp  market st  parson corner  avoid drive up from
4777,0, queen elizabeth speak out on harry and meghan after emergency meeting  
5091,0, paypal donation be very much welcome  over evacuation center in batanga be in dire need of your help  mara
10192,0, although I love a good middle of the night thunderstorm  be anyone else very concerned that be have so many in january  
10496,0, I can not actually bring myself to simply note down the vary different hor
1353,1, police have seal off an area of moatview in coolock  north dublin  after the grim discovery  it be u
9022,0, brb scream
1148,0, its trash and at this point I just think blizzard be try to do what s bad for this game  yo pvp
4124,1, a side by side comparison of the fire devastation on kangaroo island  australia   
4808,0, very important read from my friend  sandrine dixson  declve  we can emerge from our planetary emergency  here be a plan
6076,0, the last few day have be so disheartening  on so many level  mostly because my very honorable friend who support el
9773,0, you ve really sink to a new low  you sell out  sad to see 
61,0, 6yr old bella need a new home due to an incident that be an accident  she can live with old kid and in the right ho
10263,1, the national weather service say wind be as fast as mph when the tornado hit the school 
8009,0, ca nt sleep  time for outbreak   
7922,0,   about the oil spill news in ruweng  I have no right to dispute the news or the article but read through and
6124,0, I remember when the natural hair movement start and have I put egg in my hair for protein  and I take a hot shower to
7954,0, the violence I have to endure in from be holocaust  li
2859,0, this curfew clock in front of serena hotel islamabad be also clock for kp action in aid of civil power ordinance  b
7294,1, oh wait  lets  not forget ander brevik  that guy who commit mass murder 
3294,0, we love the view of san marcos from above  can you guess which san marcos building be picture  we want to remind resid
9892,0, I wonder if there be no religion or politic  how many of we would have survive on twitter 
8621,1, wahoo  australia rescuer drop carrot in burn ravished area try to feed the animal starve that survive  h
10298,0, what a tragedy rip english your killer will not go unpunished
1868,0, hey steve price  here be a lil  tip that you can cop  how about stfu  amp  stop diss a country s leader who be head  amp  shoulder
1092,0, yeh cool  the point I m get at be carragher say liverpool do nt buy superstar  they
39,0, this be cool and all these day I have be do  git push origin currentbranchname   you know that
7990,0, hey asshole maybe its not good thing to hold public gathering when there be a pandemic go on especially for child a
7021,0, be those the same island that he  scumo  refuse to assist back in with climate summit and how they be faci
448,0, army  everyone help the philippine armys  please    v  these my heart hurt a lot  plea
1960,0, I have a dream that they be shoot  I be a celeb  during the oz bush fire  I ll let you construct your own jok
6279,1, update air quality forecast for today and the next day  moderate to hazardous condition be forecast  epa advise
6193,0, we be produce million tonne of plastic  out of which be single  use plastic which be just utilise once  cau
1871,0, scion of burn spear ni mambo bad  he have decide address the order from above in a speech instead of writing 
